Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -33.905  -175.932
5.07273    -33.171  -176.732
5.14651    -32.436  -177.534
5.22137    -31.701  -178.340
5.29732    -30.967  -179.144
5.37437    -30.233  -179.953
5.45254    -29.497   179.231
5.53185    -28.759   178.409
5.61231    -28.021   177.579
5.69394    -27.280   176.739
5.77676    -26.538   175.890
5.86079    -25.797   175.036
5.94604    -25.052   174.167
6.03252    -24.305   173.290
6.12027    -23.558   172.404
6.20929    -22.809   171.508
6.29961    -22.060   170.604
6.39124    -21.308   169.689
6.48420    -20.556   168.764
6.57851    -19.801   167.828
6.67420    -19.047   166.885
6.77128    -18.292   165.932
6.86977    -17.535   164.968
6.96969    -16.776   163.992
7.07107    -16.016   163.006
7.17392    -15.257   162.012
7.27827    -14.497   161.008
7.38413    -13.737   159.994
7.49154    -12.974   158.967
7.60050    -12.212   157.933
7.71105    -11.450   156.889
7.82321    -10.687   155.833
7.93701     -9.924   154.768
8.05245     -9.160   153.690
8.16958     -8.393   152.597
8.28841     -7.624   151.493
8.40896     -6.854   150.377
8.53128     -6.082   149.244
8.65537     -5.310   148.097
8.78126     -4.535   146.932
8.90899     -3.760   145.753
9.03857     -2.982   144.557
9.17004     -2.204   143.346
9.30342     -1.425   142.118
9.43874     -0.645   140.873
9.57603      0.136   139.613
9.71532      0.917   138.337
9.85663      1.699   137.041
10.0000      2.429   135.727
10.1455      3.203   134.397
10.2930      3.987   133.050
10.4427      4.771   131.684
10.5946      5.557   130.294
10.7487      6.342   128.887
10.9051      7.130   127.454
11.0637      7.919   126.001
11.2246      8.708   124.527
11.3879      9.500   123.029
11.5535     10.292   121.508
11.7216     11.086   119.964
11.8921     11.880   118.398
12.0650     12.675   116.807
12.2405     13.471   115.191
12.4186     14.269   113.549
12.5992     15.066   111.884
12.7825     15.864   110.191
12.9684     16.663   108.470
13.1570     17.462   106.724
13.3484     18.261   104.946
13.5426     19.062   103.137
13.7395     19.863   101.300
13.9394     20.665    99.429
14.1421     21.469    97.527
14.3478     22.273    95.594
14.5565     23.080    93.625
14.7683     23.886    91.626
14.9831     24.693    89.590
15.2010     25.502    87.515
15.4221     26.310    85.408
15.6464     27.120    83.259
15.8740     27.930    81.070
16.1049     28.740    78.842
16.3392     29.550    76.573
16.5768     30.362    74.263
16.8179     31.175    71.909
17.0626     31.989    69.508
17.3107     32.805    67.062
17.5625     33.621    64.569
17.8180     34.439    62.023
18.0771     35.257    59.427
18.3401     36.076    56.775
18.6068     36.895    54.066
