Freq[Hz]     dBSPL  Phase[Deg]
5.00000     79.999     0.167
5.07273     79.999     0.170
5.14651     79.999     0.172
5.22137     79.999     0.174
5.29732     79.999     0.177
5.37437     79.999     0.180
5.45254     79.999     0.182
5.53185     79.999     0.185
5.61231     79.999     0.188
5.69394     79.999     0.190
5.77676     79.999     0.193
5.86079     79.999     0.196
5.94604     79.999     0.199
6.03252     79.999     0.202
6.12027     79.999     0.205
6.20929     79.999     0.207
6.29961     79.999     0.211
6.39124     79.999     0.214
6.48420     79.999     0.217
6.57851     79.999     0.220
6.67420     79.999     0.223
6.77128     79.999     0.226
6.86977     79.999     0.230
6.96969     79.999     0.233
7.07107     79.999     0.236
7.17392     79.999     0.240
7.27827     79.999     0.243
7.38413     79.999     0.247
7.49154     79.999     0.250
7.60050     79.999     0.254
7.71105     79.999     0.258
7.82321     79.999     0.261
7.93701     79.999     0.265
8.05245     79.999     0.269
8.16958     79.999     0.273
8.28841     79.999     0.277
8.40896     80.000     0.281
8.53128     80.000     0.285
8.65537     80.000     0.289
8.78126     80.000     0.293
8.90899     80.000     0.298
9.03857     80.000     0.302
9.17004     80.000     0.306
9.30342     80.000     0.311
9.43874     80.000     0.315
9.57603     80.000     0.320
9.71532     80.000     0.325
9.85663     80.000     0.329
10.0000     80.000     0.334
10.1455     80.000     0.339
10.2930     80.000     0.344
10.4427     80.000     0.349
10.5946     80.000     0.354
10.7487     80.000     0.359
10.9051     80.000     0.364
11.0637     80.000     0.370
11.2246     80.000     0.375
11.3879     80.000     0.380
11.5535     80.000     0.386
11.7216     80.000     0.392
11.8921     80.000     0.397
12.0650     80.000     0.403
12.2405     80.000     0.409
12.4186     80.000     0.415
12.5992     80.000     0.421
12.7825     80.000     0.427
12.9684     80.000     0.433
13.1570     80.000     0.440
13.3484     80.000     0.446
13.5426     80.000     0.452
13.7395     80.001     0.459
13.9394     80.001     0.466
14.1421     80.001     0.472
14.3478     80.001     0.479
14.5565     80.001     0.486
14.7683     80.001     0.493
14.9831     80.001     0.501
15.2010     80.001     0.508
15.4221     80.001     0.515
15.6464     80.001     0.523
15.8740     80.001     0.530
16.1049     80.001     0.538
16.3392     80.001     0.546
16.5768     80.001     0.554
16.8179     80.001     0.562
17.0626     80.001     0.570
17.3107     80.001     0.578
17.5625     80.002     0.587
17.8180     80.002     0.595
18.0771     80.002     0.604
18.3401     80.002     0.613
18.6068     80.002     0.621
18.8775     80.002     0.630
19.1521     80.002     0.640
19.4306     80.002     0.649
19.7133     80.002     0.658
20.0000     80.002     0.668
20.2909     80.002     0.678
20.5860     80.003     0.687
20.8855     80.003     0.697
21.1893     80.003     0.708
21.4975     80.003     0.718
21.8102     80.003     0.728
22.1274     80.003     0.739
22.4492     80.003     0.750
22.7758     80.003     0.760
23.1071     80.004     0.771
23.4432     80.004     0.783
23.7841     80.004     0.794
24.1301     80.004     0.806
24.4811     80.004     0.817
24.8372     80.004     0.829
25.1984     80.004     0.841
25.5649     80.005     0.853
25.9368     80.005     0.866
26.3141     80.005     0.878
26.6968     80.005     0.891
27.0851     80.005     0.904
27.4791     80.005     0.917
27.8788     80.006     0.930
28.2843     80.006     0.944
28.6957     80.006     0.957
29.1131     80.006     0.971
29.5365     80.006     0.985
29.9661     80.007     1.000
30.4020     80.007     1.014
30.8442     80.007     1.029
31.2929     80.007     1.044
31.7480     80.008     1.059
32.2098     80.008     1.074
32.6783     80.008     1.090
33.1536     80.008     1.106
33.6359     80.009     1.122
34.1251     80.009     1.138
34.6215     80.009     1.154
35.1250     80.010     1.171
35.6359     80.010     1.188
36.1543     80.010     1.205
36.6802     80.011     1.223
37.2137     80.011     1.240
37.7550     80.011     1.258
38.3041     80.012     1.276
38.8613     80.012     1.295
39.4265     80.012     1.314
40.0000     80.013     1.333
40.5818     80.013     1.352
41.1721     80.014     1.371
41.7710     80.014     1.391
42.3785     80.014     1.411
42.9949     80.015     1.432
43.6203     80.015     1.452
44.2548     80.016     1.473
44.8985     80.016     1.495
45.5515     80.017     1.516
46.2141     80.017     1.538
46.8863     80.018     1.560
47.5683     80.018     1.583
48.2602     80.019     1.606
48.9621     80.020     1.629
49.6743     80.020     1.652
50.3968     80.021     1.676
51.1299     80.021     1.700
51.8736     80.022     1.725
52.6281     80.023     1.749
53.3936     80.023     1.775
54.1702     80.024     1.800
54.9581     80.025     1.826
55.7575     80.026     1.852
56.5685     80.026     1.879
57.3914     80.027     1.906
58.2261     80.028     1.933
59.0730     80.029     1.961
59.9323     80.030     1.989
60.8040     80.031     2.018
61.6884     80.032     2.046
62.5857     80.033     2.076
63.4960     80.034     2.105
64.4196     80.035     2.136
65.3566     80.036     2.166
66.3073     80.037     2.197
67.2717     80.038     2.229
68.2502     80.039     2.260
69.2429     80.040     2.293
70.2501     80.041     2.325
71.2719     80.043     2.359
72.3086     80.044     2.392
73.3603     80.045     2.426
74.4274     80.046     2.461
75.5099     80.048     2.496
76.6083     80.049     2.531
77.7226     80.051     2.567
78.8531     80.052     2.604
80.0000     80.054     2.641
81.1636     80.055     2.678
82.3442     80.057     2.716
83.5419     80.059     2.754
84.7570     80.061     2.793
85.9899     80.062     2.833
87.2406     80.064     2.873
88.5096     80.066     2.913
89.7970     80.068     2.954
91.1031     80.070     2.996
92.4282     80.072     3.038
93.7726     80.074     3.081
95.1366     80.076     3.124
96.5204     80.079     3.168
97.9243     80.081     3.212
99.3486     80.083     3.257
100.794     80.086     3.303
102.260     80.088     3.349
103.747     80.091     3.395
105.256     80.094     3.443
106.787     80.096     3.490
108.340     80.099     3.539
109.916     80.102     3.588
111.515     80.105     3.638
113.137     80.108     3.688
114.783     80.111     3.739
116.452     80.114     3.790
118.146     80.118     3.843
119.865     80.121     3.895
121.608     80.125     3.949
123.377     80.128     4.003
125.171     80.132     4.057
126.992     80.136     4.113
128.839     80.140     4.169
130.713     80.144     4.225
132.615     80.148     4.283
134.543     80.153     4.340
136.500     80.157     4.399
138.486     80.161     4.458
140.500     80.166     4.518
142.544     80.171     4.578
144.617     80.176     4.640
146.721     80.181     4.701
148.855     80.186     4.764
151.020     80.192     4.827
153.217     80.197     4.891
155.445     80.203     4.955
157.706     80.209     5.020
160.000     80.215     5.086
162.327     80.221     5.152
164.688     80.227     5.219
167.084     80.233     5.287
169.514     80.240     5.355
171.980     80.247     5.424
174.481     80.254     5.493
177.019     80.261     5.563
179.594     80.269     5.634
182.206     80.276     5.705
184.856     80.284     5.777
187.545     80.292     5.849
190.273     80.301     5.922
193.041     80.309     5.996
195.849     80.318     6.070
198.697     80.327     6.144
201.587     80.336     6.219
204.520     80.345     6.295
207.494     80.355     6.371
210.512     80.365     6.447
213.574     80.375     6.524
216.681     80.386     6.601
219.833     80.397     6.678
223.030     80.408     6.756
226.274     80.419     6.835
229.565     80.431     6.913
232.905     80.443     6.992
236.292     80.455     7.071
239.729     80.468     7.150
243.216     80.481     7.229
246.754     80.494     7.309
250.343     80.507     7.388
253.984     80.521     7.468
257.678     80.536     7.547
261.426     80.550     7.626
265.229     80.565     7.706
269.087     80.581     7.785
273.001     80.596     7.864
276.972     80.612     7.943
281.000     80.629     8.021
285.088     80.646     8.099
289.234     80.663     8.176
293.441     80.681     8.253
297.709     80.699     8.330
302.040     80.718     8.406
306.433     80.737     8.480
310.890     80.756     8.555
315.412     80.776     8.628
320.000     80.797     8.700
324.655     80.817     8.771
329.377     80.839     8.841
334.168     80.861     8.910
339.028     80.883     8.977
343.959     80.906     9.043
348.962     80.929     9.107
354.038     80.952     9.169
359.188     80.977     9.230
364.412     81.001     9.289
369.713     81.027     9.345
375.090     81.052     9.399
380.546     81.079     9.451
386.081     81.105     9.501
391.697     81.133     9.548
397.394     81.160     9.592
403.175     81.189     9.633
409.039     81.217     9.671
414.989     81.247     9.705
421.025     81.276     9.737
427.149     81.307     9.765
433.362     81.337     9.789
439.665     81.369     9.809
446.060     81.400     9.825
