Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.810
5.07273     -0.001    -0.822
5.14651     -0.001    -0.834
5.22137     -0.001    -0.846
5.29732     -0.001    -0.858
5.37437     -0.001    -0.871
5.45254     -0.001    -0.883
5.53185     -0.001    -0.896
5.61231     -0.001    -0.909
5.69394     -0.001    -0.923
5.77676     -0.001    -0.936
5.86079     -0.001    -0.950
5.94604     -0.001    -0.963
6.03252     -0.001    -0.977
6.12027     -0.001    -0.992
6.20929     -0.001    -1.006
6.29961     -0.001    -1.021
6.39124     -0.001    -1.036
6.48420     -0.001    -1.051
6.57851     -0.001    -1.066
6.67420     -0.001    -1.081
6.77128     -0.001    -1.097
6.86977     -0.001    -1.113
6.96969     -0.001    -1.129
7.07107     -0.001    -1.146
7.17392     -0.001    -1.162
7.27827     -0.001    -1.179
7.38413     -0.001    -1.196
7.49154     -0.001    -1.214
7.60050     -0.001    -1.231
7.71105     -0.001    -1.249
7.82321     -0.001    -1.268
7.93701     -0.001    -1.286
8.05245     -0.001    -1.305
8.16958     -0.001    -1.324
8.28841     -0.001    -1.343
8.40896     -0.001    -1.362
8.53128     -0.001    -1.382
8.65537     -0.001    -1.402
8.78126     -0.001    -1.423
8.90899     -0.001    -1.443
9.03857     -0.001    -1.464
9.17004     -0.001    -1.486
9.30342     -0.001    -1.507
9.43874     -0.001    -1.529
9.57603     -0.001    -1.552
9.71532     -0.001    -1.574
9.85663     -0.001    -1.597
10.0000     -0.001    -1.620
10.1455     -0.001    -1.644
10.2930     -0.001    -1.668
10.4427     -0.001    -1.692
10.5946     -0.001    -1.717
10.7487     -0.001    -1.742
10.9051     -0.001    -1.767
11.0637     -0.001    -1.793
11.2246     -0.001    -1.819
11.3879     -0.001    -1.845
11.5535     -0.001    -1.872
11.7216     -0.001    -1.899
11.8921     -0.001    -1.927
12.0650     -0.001    -1.955
12.2405     -0.001    -1.983
12.4186     -0.001    -2.012
12.5992     -0.001    -2.041
12.7825     -0.001    -2.071
12.9684     -0.001    -2.101
13.1570     -0.001    -2.132
13.3484     -0.001    -2.163
13.5426     -0.001    -2.194
13.7395     -0.001    -2.226
13.9394     -0.001    -2.259
14.1421     -0.001    -2.291
14.3478     -0.001    -2.325
14.5565     -0.001    -2.359
14.7683     -0.001    -2.393
14.9831     -0.001    -2.428
15.2010     -0.001    -2.463
15.4221     -0.001    -2.499
15.6464     -0.001    -2.535
15.8740     -0.001    -2.572
16.1049     -0.001    -2.610
16.3392     -0.001    -2.648
16.5768     -0.001    -2.686
16.8179     -0.001    -2.725
17.0626     -0.001    -2.765
17.3107     -0.001    -2.805
17.5625     -0.001    -2.846
17.8180     -0.001    -2.887
18.0771     -0.001    -2.929
18.3401     -0.001    -2.972
18.6068     -0.001    -3.015
18.8775     -0.001    -3.059
19.1521     -0.001    -3.103
19.4306     -0.001    -3.149
19.7133     -0.001    -3.194
20.0000     -0.001    -3.241
20.2909     -0.001    -3.288
20.5860     -0.001    -3.336
20.8855     -0.001    -3.384
21.1893     -0.001    -3.434
21.4975     -0.001    -3.484
21.8102     -0.001    -3.534
22.1274     -0.001    -3.586
22.4492     -0.001    -3.638
22.7758     -0.001    -3.691
23.1071     -0.001    -3.744
23.4432     -0.001    -3.799
23.7841     -0.001    -3.854
24.1301     -0.001    -3.910
24.4811     -0.001    -3.967
24.8372     -0.001    -4.025
25.1984     -0.001    -4.084
25.5649     -0.001    -4.143
25.9368     -0.001    -4.203
26.3141     -0.001    -4.264
26.6968     -0.001    -4.326
27.0851     -0.001    -4.389
27.4791     -0.001    -4.453
27.8788     -0.001    -4.518
28.2843     -0.001    -4.584
28.6957     -0.001    -4.651
29.1131     -0.001    -4.718
29.5365     -0.001    -4.787
29.9661     -0.001    -4.857
30.4020     -0.001    -4.927
30.8442     -0.001    -4.999
31.2929     -0.001    -5.072
31.7480     -0.001    -5.146
32.2098     -0.001    -5.220
32.6783     -0.001    -5.296
33.1536     -0.001    -5.374
33.6359     -0.001    -5.452
34.1251     -0.001    -5.531
34.6215     -0.001    -5.612
35.1250     -0.001    -5.693
35.6359     -0.001    -5.776
36.1543     -0.001    -5.860
36.6802     -0.001    -5.946
37.2137     -0.001    -6.032
37.7550     -0.001    -6.120
38.3041     -0.001    -6.209
38.8613     -0.001    -6.299
39.4265     -0.001    -6.391
40.0000     -0.001    -6.484
40.5818     -0.001    -6.579
41.1721     -0.001    -6.674
41.7710     -0.001    -6.772
42.3785     -0.001    -6.870
42.9949     -0.001    -6.970
43.6203     -0.001    -7.072
44.2548     -0.001    -7.175
44.8985     -0.001    -7.279
45.5515     -0.001    -7.385
46.2141     -0.001    -7.493
46.8863     -0.001    -7.602
47.5683     -0.001    -7.713
48.2602     -0.001    -7.825
48.9621     -0.001    -7.939
49.6743     -0.001    -8.055
50.3968     -0.001    -8.172
51.1299     -0.001    -8.291
51.8736     -0.001    -8.412
52.6281     -0.001    -8.535
53.3936     -0.001    -8.659
54.1702     -0.001    -8.785
54.9581     -0.001    -8.913
55.7575     -0.001    -9.043
56.5685     -0.001    -9.175
57.3914     -0.001    -9.309
58.2261     -0.001    -9.444
59.0730     -0.001    -9.582
59.9323     -0.001    -9.722
60.8040     -0.001    -9.864
61.6884     -0.001   -10.007
62.5857     -0.001   -10.153
63.4960     -0.001   -10.301
64.4196     -0.001   -10.452
65.3566     -0.001   -10.604
66.3073     -0.001   -10.759
67.2717     -0.001   -10.916
68.2502     -0.001   -11.075
69.2429     -0.001   -11.237
70.2501     -0.001   -11.401
71.2719     -0.001   -11.567
72.3086     -0.001   -11.736
73.3603     -0.001   -11.907
74.4274     -0.001   -12.081
75.5099     -0.001   -12.257
76.6083     -0.001   -12.436
77.7226     -0.001   -12.618
78.8531     -0.001   -12.802
80.0000     -0.001   -12.989
81.1636     -0.001   -13.179
82.3442     -0.001   -13.371
83.5419     -0.001   -13.567
84.7570     -0.001   -13.765
85.9899     -0.001   -13.966
87.2406     -0.001   -14.170
88.5096     -0.001   -14.378
89.7970     -0.001   -14.588
91.1031     -0.001   -14.801
92.4282     -0.001   -15.018
93.7726     -0.001   -15.237
95.1366     -0.001   -15.460
96.5204     -0.001   -15.687
97.9243     -0.001   -15.916
99.3486     -0.001   -16.149
100.794     -0.001   -16.386
102.260     -0.001   -16.626
103.747     -0.001   -16.869
105.256     -0.001   -17.116
106.787     -0.001   -17.367
108.340     -0.001   -17.622
109.916     -0.001   -17.880
111.515     -0.001   -18.142
113.137     -0.001   -18.408
114.783     -0.001   -18.678
116.452     -0.001   -18.952
118.146     -0.001   -19.230
119.865     -0.001   -19.513
121.608     -0.001   -19.799
123.377     -0.001   -20.090
125.171     -0.001   -20.385
126.992     -0.001   -20.685
128.839     -0.001   -20.989
130.713     -0.001   -21.298
132.615     -0.001   -21.611
134.543     -0.001   -21.929
136.500     -0.001   -22.252
138.486     -0.001   -22.579
140.500     -0.001   -22.912
142.544     -0.001   -23.250
144.617     -0.001   -23.592
146.721     -0.001   -23.940
148.855     -0.001   -24.293
151.020     -0.001   -24.652
153.217     -0.001   -25.016
155.445     -0.001   -25.385
157.706     -0.001   -25.760
160.000     -0.001   -26.141
162.327     -0.001   -26.528
164.688     -0.001   -26.920
167.084     -0.001   -27.319
169.514     -0.001   -27.723
171.980     -0.001   -28.134
174.481     -0.001   -28.551
177.019     -0.001   -28.975
179.594     -0.001   -29.405
182.206     -0.001   -29.841
184.856     -0.001   -30.285
187.545     -0.001   -30.735
190.273     -0.001   -31.192
193.041     -0.001   -31.656
195.849     -0.001   -32.128
198.697     -0.001   -32.606
201.587     -0.001   -33.093
204.520     -0.001   -33.586
207.494     -0.001   -34.088
210.512     -0.001   -34.597
213.574     -0.001   -35.115
216.681     -0.001   -35.640
219.833     -0.001   -36.174
223.030     -0.001   -36.716
226.274     -0.001   -37.267
229.565     -0.001   -37.826
232.905     -0.001   -38.395
236.292     -0.001   -38.972
239.729     -0.001   -39.558
243.216     -0.001   -40.154
246.754     -0.001   -40.760
250.343     -0.001   -41.375
253.984     -0.001   -42.000
257.678     -0.001   -42.635
261.426     -0.001   -43.280
265.229     -0.001   -43.936
269.087     -0.001   -44.602
273.001     -0.001   -45.279
276.972     -0.001   -45.967
281.000     -0.001   -46.666
285.088     -0.001   -47.377
289.234     -0.001   -48.099
293.441     -0.001   -48.834
297.709     -0.001   -49.580
302.040     -0.001   -50.338
306.433     -0.001   -51.109
310.890     -0.001   -51.893
315.412     -0.001   -52.690
320.000     -0.001   -53.500
324.655     -0.001   -54.324
329.377     -0.001   -55.161
334.168     -0.001   -56.013
339.028     -0.001   -56.878
343.959     -0.001   -57.758
348.962     -0.001   -58.653
354.038     -0.001   -59.563
359.188     -0.001   -60.489
364.412     -0.001   -61.430
369.713     -0.001   -62.387
375.090     -0.001   -63.361
380.546     -0.001   -64.351
386.081     -0.001   -65.358
391.697     -0.001   -66.382
397.394     -0.001   -67.423
403.175     -0.001   -68.483
409.039     -0.001   -69.560
414.989     -0.001   -70.656
421.025     -0.001   -71.771
427.149     -0.001   -72.905
