Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -0.748
5.07273     -0.001    -0.759
5.14651     -0.001    -0.770
5.22137     -0.001    -0.781
5.29732     -0.001    -0.793
5.37437     -0.001    -0.804
5.45254     -0.001    -0.816
5.53185     -0.001    -0.828
5.61231     -0.001    -0.840
5.69394     -0.001    -0.852
5.77676     -0.001    -0.865
5.86079     -0.001    -0.877
5.94604     -0.001    -0.890
6.03252     -0.001    -0.903
6.12027     -0.001    -0.916
6.20929     -0.001    -0.929
6.29961     -0.001    -0.943
6.39124     -0.001    -0.957
6.48420     -0.001    -0.970
6.57851     -0.001    -0.985
6.67420     -0.001    -0.999
6.77128     -0.001    -1.013
6.86977     -0.001    -1.028
6.96969     -0.001    -1.043
7.07107     -0.001    -1.058
7.17392     -0.001    -1.074
7.27827     -0.001    -1.089
7.38413     -0.001    -1.105
7.49154     -0.001    -1.121
7.60050     -0.001    -1.138
7.71105     -0.001    -1.154
7.82321     -0.001    -1.171
7.93701     -0.001    -1.188
8.05245     -0.001    -1.205
8.16958     -0.001    -1.223
8.28841     -0.001    -1.241
8.40896     -0.001    -1.259
8.53128     -0.001    -1.277
8.65537     -0.001    -1.295
8.78126     -0.001    -1.314
8.90899     -0.001    -1.333
9.03857     -0.001    -1.353
9.17004     -0.001    -1.372
9.30342     -0.001    -1.392
9.43874     -0.001    -1.413
9.57603     -0.001    -1.433
9.71532     -0.001    -1.454
9.85663     -0.001    -1.475
10.0000     -0.001    -1.497
10.1455     -0.001    -1.518
10.2930     -0.001    -1.541
10.4427     -0.001    -1.563
10.5946     -0.001    -1.586
10.7487     -0.001    -1.609
10.9051     -0.001    -1.632
11.0637     -0.001    -1.656
11.2246     -0.001    -1.680
11.3879     -0.001    -1.704
11.5535     -0.001    -1.729
11.7216     -0.001    -1.754
11.8921     -0.001    -1.780
12.0650     -0.001    -1.806
12.2405     -0.001    -1.832
12.4186     -0.001    -1.859
12.5992     -0.001    -1.886
12.7825     -0.001    -1.913
12.9684     -0.001    -1.941
13.1570     -0.001    -1.969
13.3484     -0.001    -1.998
13.5426     -0.001    -2.027
13.7395     -0.001    -2.056
13.9394     -0.001    -2.086
14.1421     -0.001    -2.117
14.3478     -0.001    -2.147
14.5565     -0.001    -2.179
14.7683     -0.001    -2.210
14.9831     -0.001    -2.243
