Freq[Hz]     dBSPL  Phase[Deg]
5.00000      5.999    -0.202
5.07273      5.999    -0.205
5.14651      5.999    -0.208
5.22137      5.999    -0.211
5.29732      5.999    -0.214
5.37437      5.999    -0.217
5.45254      5.999    -0.220
5.53185      5.999    -0.223
5.61231      5.999    -0.227
5.69394      5.999    -0.230
5.77676      5.999    -0.233
5.86079      5.999    -0.237
5.94604      5.999    -0.240
6.03252      5.999    -0.243
6.12027      5.999    -0.247
6.20929      5.999    -0.251
6.29961      5.999    -0.254
6.39124      5.999    -0.258
6.48420      5.999    -0.262
6.57851      5.999    -0.266
6.67420      5.999    -0.269
6.77128      5.999    -0.273
6.86977      5.999    -0.277
6.96969      5.999    -0.281
7.07107      5.999    -0.285
7.17392      5.999    -0.290
7.27827      5.999    -0.294
7.38413      5.999    -0.298
7.49154      5.999    -0.302
7.60050      5.999    -0.307
7.71105      5.999    -0.311
7.82321      5.999    -0.316
7.93701      5.999    -0.320
8.05245      5.998    -0.325
8.16958      5.998    -0.330
8.28841      5.998    -0.335
8.40896      5.998    -0.339
8.53128      5.998    -0.344
8.65537      5.998    -0.349
8.78126      5.998    -0.354
8.90899      5.998    -0.360
9.03857      5.998    -0.365
9.17004      5.998    -0.370
9.30342      5.998    -0.375
9.43874      5.998    -0.381
9.57603      5.998    -0.386
9.71532      5.998    -0.392
9.85663      5.998    -0.398
10.0000      5.998    -0.404
10.1455      5.998    -0.409
10.2930      5.998    -0.415
10.4427      5.998    -0.421
10.5946      5.998    -0.428
10.7487      5.998    -0.434
10.9051      5.998    -0.440
11.0637      5.998    -0.446
11.2246      5.998    -0.453
11.3879      5.998    -0.460
11.5535      5.998    -0.466
11.7216      5.998    -0.473
11.8921      5.998    -0.480
12.0650      5.998    -0.487
12.2405      5.998    -0.494
12.4186      5.998    -0.501
12.5992      5.998    -0.508
12.7825      5.998    -0.516
12.9684      5.998    -0.523
13.1570      5.998    -0.531
13.3484      5.998    -0.539
13.5426      5.998    -0.546
13.7395      5.998    -0.554
13.9394      5.998    -0.563
14.1421      5.998    -0.571
14.3478      5.998    -0.579
14.5565      5.998    -0.587
14.7683      5.998    -0.596
14.9831      5.997    -0.605
15.2010      5.997    -0.613
15.4221      5.997    -0.622
15.6464      5.997    -0.631
15.8740      5.997    -0.641
16.1049      5.997    -0.650
16.3392      5.997    -0.659
16.5768      5.997    -0.669
16.8179      5.997    -0.679
17.0626      5.997    -0.688
17.3107      5.997    -0.698
17.5625      5.997    -0.709
17.8180      5.997    -0.719
18.0771      5.997    -0.729
18.3401      5.997    -0.740
18.6068      5.997    -0.751
18.8775      5.997    -0.762
19.1521      5.997    -0.773
19.4306      5.996    -0.784
19.7133      5.996    -0.795
20.0000      5.996    -0.807
20.2909      5.996    -0.819
20.5860      5.996    -0.830
20.8855      5.996    -0.843
21.1893      5.996    -0.855
21.4975      5.996    -0.867
21.8102      5.996    -0.880
22.1274      5.996    -0.893
22.4492      5.996    -0.906
22.7758      5.996    -0.919
23.1071      5.995    -0.932
23.4432      5.995    -0.946
23.7841      5.995    -0.959
24.1301      5.995    -0.973
24.4811      5.995    -0.987
24.8372      5.995    -1.002
25.1984      5.995    -1.016
25.5649      5.995    -1.031
25.9368      5.995    -1.046
26.3141      5.994    -1.061
26.6968      5.994    -1.077
27.0851      5.994    -1.092
27.4791      5.994    -1.108
27.8788      5.994    -1.124
28.2843      5.994    -1.141
28.6957      5.994    -1.157
29.1131      5.993    -1.174
29.5365      5.993    -1.191
29.9661      5.993    -1.208
30.4020      5.993    -1.226
30.8442      5.993    -1.244
31.2929      5.993    -1.262
31.7480      5.992    -1.280
32.2098      5.992    -1.299
32.6783      5.992    -1.317
33.1536      5.992    -1.336
33.6359      5.992    -1.356
34.1251      5.991    -1.376
34.6215      5.991    -1.395
35.1250      5.991    -1.416
35.6359      5.991    -1.436
36.1543      5.990    -1.457
36.6802      5.990    -1.478
37.2137      5.990    -1.500
37.7550      5.990    -1.521
38.3041      5.989    -1.543
38.8613      5.989    -1.566
39.4265      5.989    -1.588
40.0000      5.989    -1.612
40.5818      5.988    -1.635
41.1721      5.988    -1.659
41.7710      5.988    -1.683
42.3785      5.987    -1.707
42.9949      5.987    -1.732
43.6203      5.987    -1.757
44.2548      5.986    -1.782
44.8985      5.986    -1.808
45.5515      5.985    -1.834
46.2141      5.985    -1.861
46.8863      5.985    -1.888
47.5683      5.984    -1.915
48.2602      5.984    -1.943
48.9621      5.983    -1.971
49.6743      5.983    -1.999
50.3968      5.982    -2.028
51.1299      5.982    -2.057
51.8736      5.982    -2.087
52.6281      5.981    -2.117
53.3936      5.980    -2.148
54.1702      5.980    -2.179
54.9581      5.979    -2.210
55.7575      5.979    -2.242
56.5685      5.978    -2.275
57.3914      5.978    -2.308
58.2261      5.977    -2.341
59.0730      5.976    -2.375
59.9323      5.976    -2.409
60.8040      5.975    -2.444
61.6884      5.974    -2.479
62.5857      5.974    -2.515
63.4960      5.973    -2.551
64.4196      5.972    -2.588
65.3566      5.971    -2.625
66.3073      5.971    -2.663
67.2717      5.970    -2.701
68.2502      5.969    -2.740
69.2429      5.968    -2.779
70.2501      5.967    -2.819
71.2719      5.966    -2.860
72.3086      5.965    -2.901
73.3603      5.964    -2.943
74.4274      5.963    -2.985
75.5099      5.962    -3.028
76.6083      5.961    -3.071
77.7226      5.960    -3.115
78.8531      5.959    -3.160
80.0000      5.958    -3.205
81.1636      5.957    -3.251
82.3442      5.955    -3.298
83.5419      5.954    -3.345
84.7570      5.953    -3.393
85.9899      5.951    -3.441
87.2406      5.950    -3.490
88.5096      5.949    -3.540
89.7970      5.947    -3.591
91.1031      5.946    -3.642
92.4282      5.944    -3.694
93.7726      5.942    -3.747
95.1366      5.941    -3.800
96.5204      5.939    -3.854
97.9243      5.937    -3.909
99.3486      5.936    -3.964
100.794      5.934    -4.021
102.260      5.932    -4.078
103.747      5.930    -4.136
105.256      5.928    -4.194
106.787      5.926    -4.254
108.340      5.924    -4.314
109.916      5.922    -4.375
