Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001    -1.145
5.07273     -0.001    -1.162
5.14651     -0.001    -1.179
5.22137     -0.001    -1.196
5.29732     -0.001    -1.213
5.37437     -0.001    -1.231
5.45254     -0.001    -1.249
5.53185     -0.001    -1.267
5.61231     -0.001    -1.286
5.69394     -0.001    -1.304
5.77676     -0.001    -1.323
5.86079     -0.001    -1.343
5.94604     -0.001    -1.362
6.03252     -0.001    -1.382
6.12027     -0.001    -1.402
6.20929     -0.001    -1.422
6.29961     -0.001    -1.443
6.39124     -0.001    -1.464
6.48420     -0.001    -1.485
6.57851     -0.001    -1.507
6.67420     -0.001    -1.529
6.77128     -0.001    -1.551
6.86977     -0.001    -1.574
6.96969     -0.001    -1.597
7.07107     -0.001    -1.620
7.17392     -0.001    -1.643
7.27827     -0.001    -1.667
7.38413     -0.001    -1.691
7.49154     -0.001    -1.716
7.60050     -0.001    -1.741
7.71105     -0.001    -1.766
7.82321     -0.001    -1.792
7.93701     -0.001    -1.818
8.05245     -0.001    -1.845
8.16958     -0.001    -1.871
8.28841     -0.001    -1.899
8.40896     -0.001    -1.926
8.53128     -0.001    -1.954
8.65537     -0.001    -1.983
8.78126     -0.001    -2.012
8.90899     -0.001    -2.041
9.03857     -0.001    -2.070
9.17004     -0.001    -2.101
9.30342     -0.001    -2.131
9.43874     -0.001    -2.162
9.57603     -0.001    -2.194
9.71532     -0.001    -2.226
9.85663     -0.001    -2.258
10.0000     -0.001    -2.291
10.1455     -0.001    -2.324
10.2930     -0.001    -2.358
10.4427     -0.001    -2.392
10.5946     -0.001    -2.427
10.7487     -0.001    -2.462
10.9051     -0.001    -2.498
11.0637     -0.001    -2.534
11.2246     -0.001    -2.571
11.3879     -0.001    -2.609
11.5535     -0.001    -2.647
11.7216     -0.001    -2.685
11.8921     -0.001    -2.724
12.0650     -0.001    -2.764
12.2405     -0.001    -2.804
12.4186     -0.001    -2.845
12.5992     -0.001    -2.886
12.7825     -0.001    -2.928
12.9684     -0.001    -2.971
13.1570     -0.001    -3.014
13.3484     -0.001    -3.058
13.5426     -0.001    -3.102
13.7395     -0.001    -3.147
13.9394     -0.001    -3.193
14.1421     -0.001    -3.240
14.3478     -0.001    -3.287
14.5565     -0.001    -3.335
14.7683     -0.001    -3.383
14.9831     -0.001    -3.432
15.2010     -0.001    -3.482
15.4221     -0.001    -3.533
15.6464     -0.001    -3.584
15.8740     -0.001    -3.636
16.1049     -0.001    -3.689
16.3392     -0.001    -3.743
16.5768     -0.001    -3.797
16.8179     -0.001    -3.853
17.0626     -0.001    -3.909
17.3107     -0.001    -3.966
17.5625     -0.001    -4.023
17.8180     -0.001    -4.082
18.0771     -0.001    -4.141
18.3401     -0.001    -4.201
18.6068     -0.001    -4.263
18.8775     -0.001    -4.325
19.1521     -0.001    -4.387
19.4306     -0.001    -4.451
19.7133     -0.001    -4.516
20.0000     -0.001    -4.582
20.2909     -0.001    -4.648
20.5860     -0.001    -4.716
20.8855     -0.001    -4.785
21.1893     -0.001    -4.854
21.4975     -0.001    -4.925
21.8102     -0.001    -4.997
22.1274     -0.001    -5.069
22.4492     -0.001    -5.143
22.7758     -0.001    -5.218
23.1071     -0.001    -5.294
23.4432     -0.001    -5.371
23.7841     -0.001    -5.449
24.1301     -0.001    -5.528
24.4811     -0.001    -5.609
24.8372     -0.001    -5.690
25.1984     -0.001    -5.773
25.5649     -0.001    -5.857
25.9368     -0.001    -5.942
26.3141     -0.001    -6.029
26.6968     -0.001    -6.116
27.0851     -0.001    -6.205
27.4791     -0.001    -6.296
27.8788     -0.001    -6.387
28.2843     -0.001    -6.480
28.6957     -0.001    -6.574
29.1131     -0.001    -6.670
29.5365     -0.001    -6.767
29.9661     -0.001    -6.866
30.4020     -0.001    -6.965
30.8442     -0.001    -7.067
31.2929     -0.001    -7.170
31.7480     -0.001    -7.274
32.2098     -0.001    -7.380
32.6783     -0.001    -7.487
33.1536     -0.001    -7.596
33.6359     -0.001    -7.707
34.1251     -0.001    -7.819
34.6215     -0.001    -7.933
35.1250     -0.001    -8.048
35.6359     -0.001    -8.165
36.1543     -0.001    -8.284
36.6802     -0.001    -8.404
37.2137     -0.001    -8.527
37.7550     -0.001    -8.651
38.3041     -0.001    -8.777
38.8613     -0.001    -8.905
39.4265     -0.001    -9.034
40.0000     -0.001    -9.166
40.5818     -0.001    -9.299
41.1721     -0.001    -9.434
41.7710     -0.001    -9.572
42.3785     -0.001    -9.711
42.9949     -0.001    -9.852
43.6203     -0.001    -9.996
44.2548     -0.001   -10.141
44.8985     -0.001   -10.289
45.5515     -0.001   -10.439
46.2141     -0.001   -10.591
46.8863     -0.001   -10.745
47.5683     -0.001   -10.901
48.2602     -0.001   -11.060
48.9621     -0.001   -11.221
49.6743     -0.001   -11.384
50.3968     -0.001   -11.550
51.1299      0.000   -11.718
51.8736      0.000   -11.889
52.6281      0.000   -12.062
53.3936      0.000   -12.238
54.1702      0.000   -12.416
54.9581      0.000   -12.597
55.7575      0.000   -12.780
56.5685      0.000   -12.966
57.3914      0.000   -13.155
58.2261      0.000   -13.347
59.0730      0.000   -13.541
59.9323      0.000   -13.738
60.8040      0.000   -13.938
61.6884      0.000   -14.141
62.5857      0.000   -14.347
63.4960      0.000   -14.556
64.4196      0.000   -14.768
65.3566      0.000   -14.983
66.3073      0.000   -15.202
67.2717      0.000   -15.423
68.2502      0.000   -15.648
69.2429      0.000   -15.876
70.2501      0.000   -16.107
71.2719      0.000   -16.342
72.3086      0.000   -16.580
73.3603      0.000   -16.822
74.4274      0.000   -17.067
75.5099      0.000   -17.316
76.6083      0.000   -17.568
77.7226      0.000   -17.825
78.8531      0.000   -18.084
80.0000      0.000   -18.348
81.1636      0.000   -18.616
82.3442      0.000   -18.887
83.5419      0.000   -19.163
84.7570      0.000   -19.442
85.9899      0.001   -19.726
87.2406      0.001   -20.013
88.5096      0.001   -20.305
89.7970      0.001   -20.602
91.1031      0.001   -20.902
92.4282      0.001   -21.207
93.7726      0.001   -21.517
95.1366      0.001   -21.831
96.5204      0.001   -22.149
97.9243      0.001   -22.473
99.3486      0.001   -22.801
100.794      0.001   -23.134
102.260      0.001   -23.472
103.747      0.001   -23.815
105.256      0.001   -24.162
106.787      0.001   -24.515
108.340      0.001   -24.874
109.916      0.001   -25.237
111.515      0.002   -25.606
113.137      0.002   -25.980
114.783      0.002   -26.360
116.452      0.002   -26.745
118.146      0.002   -27.137
119.865      0.002   -27.533
121.608      0.002   -27.936
123.377      0.002   -28.345
125.171      0.002   -28.760
126.992      0.002   -29.181
128.839      0.002   -29.608
130.713      0.002   -30.041
132.615      0.002   -30.481
134.543      0.002   -30.928
136.500      0.003   -31.381
138.486      0.003   -31.841
140.500      0.003   -32.307
142.544      0.003   -32.781
144.617      0.003   -33.262
146.721      0.003   -33.749
148.855      0.003   -34.244
151.020      0.003   -34.747
153.217      0.003   -35.257
155.445      0.003   -35.775
157.706      0.003   -36.300
160.000      0.004   -36.833
162.327      0.004   -37.375
164.688      0.004   -37.924
167.084      0.004   -38.482
169.514      0.004   -39.048
171.980      0.004   -39.622
174.481      0.004   -40.205
177.019      0.004   -40.797
179.594      0.004   -41.398
182.206      0.004   -42.008
184.856      0.005   -42.627
187.545      0.005   -43.256
190.273      0.005   -43.894
193.041      0.005   -44.542
195.849      0.005   -45.200
198.697      0.005   -45.867
201.587      0.005   -46.545
204.520      0.005   -47.234
207.494      0.005   -47.932
210.512      0.005   -48.642
213.574      0.005   -49.362
216.681      0.005   -50.093
219.833      0.005   -50.836
223.030      0.005   -51.590
226.274      0.005   -52.356
229.565      0.005   -53.133
232.905      0.005   -53.923
236.292      0.005   -54.725
239.729      0.005   -55.539
243.216      0.005   -56.366
246.754      0.005   -57.206
250.343      0.005   -58.060
253.984      0.005   -58.926
257.678      0.005   -59.806
261.426      0.005   -60.700
265.229      0.004   -61.608
269.087      0.004   -62.531
273.001      0.004   -63.468
276.972      0.004   -64.420
281.000      0.003   -65.387
285.088      0.003   -66.370
289.234      0.003   -67.368
293.441      0.002   -68.383
297.709      0.002   -69.414
302.040      0.001   -70.462
306.433      0.000   -71.526
310.890      0.000   -72.608
315.412     -0.001   -73.708
320.000     -0.002   -74.826
324.655     -0.003   -75.962
329.377     -0.004   -77.117
334.168     -0.005   -78.291
339.028     -0.007   -79.485
343.959     -0.008   -80.699
348.962     -0.010   -81.933
354.038     -0.011   -83.187
359.188     -0.013   -84.463
364.412     -0.015   -85.761
369.713     -0.017   -87.081
375.090     -0.020   -88.424
380.546     -0.023   -89.789
386.081     -0.025   -91.179
391.697     -0.029   -92.592
397.394     -0.032   -94.030
403.175     -0.036   -95.494
409.039     -0.040   -96.983
414.989     -0.044   -98.499
421.025     -0.049  -100.041
427.149     -0.054  -101.612
433.362     -0.059  -103.210
439.665     -0.065  -104.838
446.060     -0.072  -106.495
452.548     -0.079  -108.183
459.131     -0.087  -109.902
465.809     -0.095  -111.653
472.584     -0.104  -113.436
479.458     -0.114  -115.253
486.432     -0.125  -117.104
493.507     -0.137  -118.990
500.686     -0.149  -120.912
507.968     -0.163  -122.871
515.357     -0.177  -124.867
522.853     -0.193  -126.903
530.458     -0.211  -128.978
538.174     -0.229  -131.093
546.002     -0.249  -133.250
553.943     -0.271  -135.450
562.001     -0.295  -137.694
570.175     -0.321  -139.982
578.469     -0.348  -142.316
586.883     -0.378  -144.697
