Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.001     0.167
5.07273     -0.001     0.170
5.14651     -0.001     0.172
5.22137     -0.001     0.174
5.29732     -0.001     0.177
5.37437     -0.001     0.180
5.45254     -0.001     0.182
5.53185     -0.001     0.185
5.61231     -0.001     0.188
5.69394     -0.001     0.190
5.77676     -0.001     0.193
5.86079     -0.001     0.196
5.94604     -0.001     0.199
6.03252     -0.001     0.202
6.12027     -0.001     0.205
6.20929     -0.001     0.207
6.29961     -0.001     0.211
6.39124     -0.001     0.214
6.48420     -0.001     0.217
6.57851     -0.001     0.220
6.67420     -0.001     0.223
6.77128     -0.001     0.226
6.86977     -0.001     0.230
6.96969     -0.001     0.233
7.07107     -0.001     0.236
7.17392     -0.001     0.240
7.27827     -0.001     0.243
7.38413     -0.001     0.247
7.49154     -0.001     0.250
7.60050     -0.001     0.254
7.71105     -0.001     0.258
7.82321     -0.001     0.261
7.93701     -0.001     0.265
8.05245     -0.001     0.269
8.16958     -0.001     0.273
8.28841     -0.001     0.277
8.40896      0.000     0.281
8.53128      0.000     0.285
8.65537      0.000     0.289
8.78126      0.000     0.293
8.90899      0.000     0.298
9.03857      0.000     0.302
9.17004      0.000     0.306
9.30342      0.000     0.311
9.43874      0.000     0.315
9.57603      0.000     0.320
9.71532      0.000     0.325
9.85663      0.000     0.329
10.0000      0.000     0.334
10.1455      0.000     0.339
10.2930      0.000     0.344
10.4427      0.000     0.349
10.5946      0.000     0.354
10.7487      0.000     0.359
10.9051      0.000     0.364
11.0637      0.000     0.370
11.2246      0.000     0.375
11.3879      0.000     0.380
11.5535      0.000     0.386
11.7216      0.000     0.392
11.8921      0.000     0.397
12.0650      0.000     0.403
12.2405      0.000     0.409
12.4186      0.000     0.415
12.5992      0.000     0.421
12.7825      0.000     0.427
12.9684      0.000     0.433
13.1570      0.000     0.440
13.3484      0.000     0.446
13.5426      0.000     0.452
13.7395      0.001     0.459
13.9394      0.001     0.466
14.1421      0.001     0.472
14.3478      0.001     0.479
14.5565      0.001     0.486
14.7683      0.001     0.493
14.9831      0.001     0.501
15.2010      0.001     0.508
15.4221      0.001     0.515
15.6464      0.001     0.523
15.8740      0.001     0.530
16.1049      0.001     0.538
16.3392      0.001     0.546
16.5768      0.001     0.554
16.8179      0.001     0.562
17.0626      0.001     0.570
17.3107      0.001     0.578
17.5625      0.002     0.587
17.8180      0.002     0.595
18.0771      0.002     0.604
18.3401      0.002     0.613
18.6068      0.002     0.621
18.8775      0.002     0.630
19.1521      0.002     0.640
19.4306      0.002     0.649
19.7133      0.002     0.658
20.0000      0.002     0.668
20.2909      0.002     0.678
20.5860      0.003     0.687
20.8855      0.003     0.697
21.1893      0.003     0.708
21.4975      0.003     0.718
21.8102      0.003     0.728
22.1274      0.003     0.739
22.4492      0.003     0.750
22.7758      0.003     0.760
23.1071      0.004     0.771
23.4432      0.004     0.783
23.7841      0.004     0.794
24.1301      0.004     0.806
24.4811      0.004     0.817
24.8372      0.004     0.829
25.1984      0.004     0.841
25.5649      0.005     0.853
25.9368      0.005     0.866
26.3141      0.005     0.878
26.6968      0.005     0.891
27.0851      0.005     0.904
27.4791      0.005     0.917
27.8788      0.006     0.930
28.2843      0.006     0.944
28.6957      0.006     0.957
29.1131      0.006     0.971
29.5365      0.006     0.985
29.9661      0.007     1.000
30.4020      0.007     1.014
30.8442      0.007     1.029
31.2929      0.007     1.044
31.7480      0.008     1.059
32.2098      0.008     1.074
32.6783      0.008     1.090
33.1536      0.008     1.106
33.6359      0.009     1.122
34.1251      0.009     1.138
34.6215      0.009     1.154
35.1250      0.010     1.171
35.6359      0.010     1.188
36.1543      0.010     1.205
36.6802      0.011     1.223
37.2137      0.011     1.240
37.7550      0.011     1.258
38.3041      0.012     1.276
38.8613      0.012     1.295
39.4265      0.012     1.314
40.0000      0.013     1.333
40.5818      0.013     1.352
41.1721      0.014     1.371
41.7710      0.014     1.391
42.3785      0.014     1.411
42.9949      0.015     1.432
43.6203      0.015     1.452
44.2548      0.016     1.473
44.8985      0.016     1.495
45.5515      0.017     1.516
46.2141      0.017     1.538
46.8863      0.018     1.560
47.5683      0.018     1.583
48.2602      0.019     1.606
48.9621      0.020     1.629
49.6743      0.020     1.652
50.3968      0.021     1.676
51.1299      0.021     1.700
51.8736      0.022     1.725
52.6281      0.023     1.749
53.3936      0.023     1.775
54.1702      0.024     1.800
54.9581      0.025     1.826
55.7575      0.026     1.852
56.5685      0.026     1.879
57.3914      0.027     1.906
58.2261      0.028     1.933
59.0730      0.029     1.961
59.9323      0.030     1.989
60.8040      0.031     2.018
61.6884      0.032     2.046
62.5857      0.033     2.076
63.4960      0.034     2.105
64.4196      0.035     2.136
65.3566      0.036     2.166
66.3073      0.037     2.197
67.2717      0.038     2.229
68.2502      0.039     2.260
69.2429      0.040     2.293
70.2501      0.041     2.325
71.2719      0.043     2.359
72.3086      0.044     2.392
73.3603      0.045     2.426
74.4274      0.046     2.461
75.5099      0.048     2.496
76.6083      0.049     2.531
77.7226      0.051     2.567
78.8531      0.052     2.604
80.0000      0.054     2.641
81.1636      0.055     2.678
82.3442      0.057     2.716
83.5419      0.059     2.754
84.7570      0.061     2.793
85.9899      0.062     2.833
87.2406      0.064     2.873
88.5096      0.066     2.913
89.7970      0.068     2.954
91.1031      0.070     2.996
92.4282      0.072     3.038
93.7726      0.074     3.081
95.1366      0.076     3.124
96.5204      0.079     3.168
97.9243      0.081     3.212
99.3486      0.083     3.257
100.794      0.086     3.303
102.260      0.088     3.349
103.747      0.091     3.395
105.256      0.094     3.443
106.787      0.096     3.490
108.340      0.099     3.539
109.916      0.102     3.588
111.515      0.105     3.638
113.137      0.108     3.688
114.783      0.111     3.739
116.452      0.114     3.790
118.146      0.118     3.843
119.865      0.121     3.895
121.608      0.125     3.949
123.377      0.128     4.003
125.171      0.132     4.057
126.992      0.136     4.113
128.839      0.140     4.169
130.713      0.144     4.225
132.615      0.148     4.283
134.543      0.153     4.340
136.500      0.157     4.399
138.486      0.161     4.458
140.500      0.166     4.518
142.544      0.171     4.578
144.617      0.176     4.640
146.721      0.181     4.701
148.855      0.186     4.764
151.020      0.192     4.827
153.217      0.197     4.891
155.445      0.203     4.955
157.706      0.209     5.020
160.000      0.215     5.086
162.327      0.221     5.152
164.688      0.227     5.219
167.084      0.233     5.287
169.514      0.240     5.355
171.980      0.247     5.424
174.481      0.254     5.493
177.019      0.261     5.563
179.594      0.269     5.634
182.206      0.276     5.705
184.856      0.284     5.777
187.545      0.292     5.849
190.273      0.301     5.922
193.041      0.309     5.996
195.849      0.318     6.070
198.697      0.327     6.144
201.587      0.336     6.219
204.520      0.345     6.295
207.494      0.355     6.371
210.512      0.365     6.447
213.574      0.375     6.524
216.681      0.386     6.601
219.833      0.397     6.678
223.030      0.408     6.756
226.274      0.419     6.835
229.565      0.431     6.913
232.905      0.443     6.992
236.292      0.455     7.071
239.729      0.468     7.150
243.216      0.481     7.229
246.754      0.494     7.309
250.343      0.507     7.388
253.984      0.521     7.468
257.678      0.536     7.547
261.426      0.550     7.626
265.229      0.565     7.706
269.087      0.581     7.785
273.001      0.596     7.864
276.972      0.612     7.943
281.000      0.629     8.021
285.088      0.646     8.099
289.234      0.663     8.176
293.441      0.681     8.253
297.709      0.699     8.330
302.040      0.718     8.406
306.433      0.737     8.480
310.890      0.756     8.555
315.412      0.776     8.628
320.000      0.797     8.700
324.655      0.817     8.771
329.377      0.839     8.841
334.168      0.861     8.910
339.028      0.883     8.977
343.959      0.906     9.043
348.962      0.929     9.107
354.038      0.952     9.169
359.188      0.977     9.230
364.412      1.001     9.289
369.713      1.027     9.345
375.090      1.052     9.399
380.546      1.079     9.451
386.081      1.105     9.501
391.697      1.133     9.548
397.394      1.160     9.592
403.175      1.189     9.633
409.039      1.217     9.671
414.989      1.247     9.705
421.025      1.276     9.737
427.149      1.307     9.765
433.362      1.337     9.789
439.665      1.369     9.809
446.060      1.400     9.825
452.548      1.432     9.836
459.131      1.465     9.843
465.809      1.498     9.846
472.584      1.532     9.843
479.458      1.566     9.836
486.432      1.600     9.823
493.507      1.635     9.805
500.686      1.670     9.781
507.968      1.706     9.752
515.357      1.741     9.716
522.853      1.778     9.674
530.458      1.814     9.626
538.174      1.851     9.571
546.002      1.888     9.509
553.943      1.925     9.441
562.001      1.962     9.365
570.175      1.999     9.281
578.469      2.037     9.191
586.883      2.074     9.092
595.419      2.112     8.986
604.080      2.150     8.871
612.866      2.187     8.749
621.780      2.224     8.618
630.824      2.261     8.479
640.000      2.298     8.331
649.309      2.335     8.175
658.753      2.371     8.010
668.335      2.407     7.836
678.056      2.442     7.654
687.919      2.477     7.463
697.925      2.512     7.263
708.077      2.545     7.054
718.376      2.578     6.837
728.825      2.610     6.611
739.426      2.642     6.377
750.181      2.672     6.135
761.093      2.702     5.884
772.163      2.730     5.625
783.394      2.757     5.359
794.789      2.783     5.084
806.349      2.808     4.803
818.078      2.832     4.515
